family,model,feature,importance
promise-ck,LGB-HP,dam,68.6467
promise-ck,LGB-HP,cbm,67.8367
promise-ck,LGB-HP,noc,55.94
promise-ck,LGB-HP,ic,51.42
promise-ck,RF,loc,0.0967
promise-ck,RF,rfc,0.0871
promise-ck,RF,cbo,0.0865
promise-ck,RF,ce,0.0831
promise-ck,RF,amc,0.0788
promise-ck,RF,cam,0.0685
promise-ck,RF,ca,0.0606
promise-ck,RF,wmc,0.0552
promise-ck,RF,avg_cc,0.0543
promise-ck,RF,lcom,0.0499
promise-ck,RF,lcom3,0.0489
promise-ck,RF,npm,0.0477
promise-ck,RF,max_cc,0.0382
promise-ck,RF,mfa,0.0345
promise-ck,RF,cbm,0.0257
promise-ck,RF,dit,0.0217
promise-ck,RF,moa,0.0194
promise-ck,RF,dam,0.0182
promise-ck,RF,ic,0.0146
promise-ck,RF,noc,0.0102
