family,dataset,model,seed,precision,recall,f1
promise-ck,ant-1.7,Stacking,7,0.7727272727272727,0.34,0.4722222222222222
promise-ck,ant-1.7,RF-HP,7,0.6666666666666666,0.52,0.5842696629213483
promise-ck,ant-1.7,XGB-HP,7,0.5272727272727272,0.58,0.5523809523809524
promise-ck,ant-1.7,LGB-HP,7,0.5526315789473685,0.42,0.4772727272727273
promise-ck,ant-1.7,RF-SMOTE,7,0.5555555555555556,0.5,0.5263157894736842
promise-ck,ant-1.7,LR,8,0.5081967213114754,0.62,0.5585585585585585
promise-ck,ant-1.7,RF,8,0.7142857142857143,0.4,0.5128205128205128
promise-ck,ant-1.7,XGB,8,0.6470588235294118,0.44,0.5238095238095238
promise-ck,ant-1.7,LGB,8,0.6341463414634146,0.52,0.5714285714285714
promise-ck,ant-1.7,Stacking,8,0.8076923076923077,0.42,0.5526315789473685
promise-ck,ant-1.7,RF-HP,8,0.6341463414634146,0.52,0.5714285714285714
promise-ck,ant-1.7,XGB-HP,8,0.6190476190476191,0.52,0.5652173913043478
promise-ck,ant-1.7,LGB-HP,8,0.7272727272727273,0.48,0.5783132530120482
promise-ck,ant-1.7,RF-SMOTE,8,0.627906976744186,0.54,0.5806451612903226
promise-ck,ant-1.7,LR,9,0.4931506849315068,0.72,0.5853658536585366
promise-ck,ant-1.7,RF,9,0.6764705882352942,0.46,0.5476190476190477
promise-ck,ant-1.7,XGB,9,0.5555555555555556,0.6,0.5769230769230769
promise-ck,ant-1.7,LGB,9,0.5490196078431373,0.56,0.5544554455445545
promise-ck,ant-1.7,Stacking,9,0.6451612903225806,0.4,0.49382716049382713
promise-ck,ant-1.7,RF-HP,9,0.5689655172413793,0.66,0.6111111111111112
promise-ck,ant-1.7,XGB-HP,9,0.48484848484848486,0.64,0.5517241379310345
promise-ck,ant-1.7,LGB-HP,9,0.5471698113207547,0.58,0.5631067961165048
promise-ck,ant-1.7,RF-SMOTE,9,0.5423728813559322,0.64,0.5871559633027523
promise-ck,ant-1.7,LR,10,0.5606060606060606,0.74,0.6379310344827587
promise-ck,ant-1.7,RF,10,0.6923076923076923,0.54,0.6067415730337079
promise-ck,ant-1.7,XGB,10,0.5660377358490566,0.6,0.5825242718446602
promise-ck,ant-1.7,LGB,10,0.5714285714285714,0.64,0.6037735849056604
promise-ck,ant-1.7,Stacking,10,0.6842105263157895,0.52,0.5909090909090909
promise-ck,ant-1.7,RF-HP,10,0.625,0.7,0.660377358490566
promise-ck,ant-1.7,XGB-HP,10,0.5967741935483871,0.74,0.6607142857142857
promise-ck,ant-1.7,LGB-HP,10,0.6,0.54,0.5684210526315789
promise-ck,ant-1.7,RF-SMOTE,10,0.6111111111111112,0.66,0.6346153846153846
promise-ck,ant-1.7,LR,11,0.5,0.68,0.576271186440678
promise-ck,ant-1.7,RF,11,0.5909090909090909,0.52,0.5531914893617021
promise-ck,ant-1.7,XGB,11,0.5686274509803921,0.58,0.5742574257425742
promise-ck,ant-1.7,LGB,11,0.5490196078431373,0.56,0.5544554455445545
promise-ck,ant-1.7,Stacking,11,0.627906976744186,0.54,0.5806451612903226
promise-ck,ant-1.7,RF-HP,11,0.5961538461538461,0.62,0.6078431372549019
promise-ck,ant-1.7,XGB-HP,11,0.5333333333333333,0.64,0.5818181818181818
promise-ck,ant-1.7,LGB-HP,11,0.5833333333333334,0.56,0.5714285714285714
promise-ck,ant-1.7,RF-SMOTE,11,0.5423728813559322,0.64,0.5871559633027523
promise-ck,ant-1.7,LR,12,0.5128205128205128,0.8,0.625
promise-ck,ant-1.7,RF,12,0.6190476190476191,0.52,0.5652173913043478
promise-ck,ant-1.7,XGB,12,0.5370370370370371,0.58,0.5576923076923077
promise-ck,ant-1.7,LGB,12,0.5081967213114754,0.62,0.5585585585585585
promise-ck,ant-1.7,Stacking,12,0.6410256410256411,0.5,0.5617977528089888
promise-ck,ant-1.7,RF-HP,12,0.5769230769230769,0.6,0.5882352941176471
promise-ck,ant-1.7,XGB-HP,12,0.5522388059701493,0.74,0.6324786324786325
promise-ck,ant-1.7,LGB-HP,12,0.5263157894736842,0.6,0.5607476635514018
promise-ck,ant-1.7,RF-SMOTE,12,0.515625,0.66,0.5789473684210527
promise-ck,ant-1.7,LR,13,0.5370370370370371,0.58,0.5576923076923077
promise-ck,ant-1.7,RF,13,0.7272727272727273,0.32,0.4444444444444444
promise-ck,ant-1.7,XGB,13,0.5789473684210527,0.44,0.5
promise-ck,ant-1.7,LGB,13,0.575,0.46,0.5111111111111111
promise-ck,ant-1.7,Stacking,13,0.8,0.32,0.45714285714285713
promise-ck,ant-1.7,RF-HP,13,0.6052631578947368,0.46,0.5227272727272727
promise-ck,ant-1.7,XGB-HP,13,0.5576923076923077,0.58,0.5686274509803921
promise-ck,ant-1.7,LGB-HP,13,0.55,0.44,0.4888888888888889
promise-ck,ant-1.7,RF-SMOTE,13,0.6341463414634146,0.52,0.5714285714285714
promise-ck,ant-1.7,LR,14,0.5522388059701493,0.74,0.6324786324786325
promise-ck,ant-1.7,RF,14,0.6923076923076923,0.54,0.6067415730337079
promise-ck,ant-1.7,XGB,14,0.5370370370370371,0.58,0.5576923076923077
promise-ck,ant-1.7,LGB,14,0.574468085106383,0.54,0.5567010309278351
promise-ck,ant-1.7,Stacking,14,0.6571428571428571,0.46,0.5411764705882353
promise-ck,ant-1.7,RF-HP,14,0.6170212765957447,0.58,0.5979381443298969
promise-ck,ant-1.7,XGB-HP,14,0.578125,0.74,0.6491228070175439
promise-ck,ant-1.7,LGB-HP,14,0.5576923076923077,0.58,0.5686274509803921
promise-ck,ant-1.7,RF-SMOTE,14,0.6181818181818182,0.68,0.6476190476190476
promise-ck,ant-1.7,LR,15,0.49295774647887325,0.7,0.5785123966942148
promise-ck,ant-1.7,RF,15,0.5142857142857142,0.36,0.4235294117647059
promise-ck,ant-1.7,XGB,15,0.509090909090909,0.56,0.5333333333333333
promise-ck,ant-1.7,LGB,15,0.45614035087719296,0.52,0.48598130841121495
promise-ck,ant-1.7,Stacking,15,0.5405405405405406,0.4,0.45977011494252873
promise-ck,ant-1.7,RF-HP,15,0.5294117647058824,0.54,0.5346534653465347
promise-ck,ant-1.7,XGB-HP,15,0.5,0.66,0.5689655172413793
promise-ck,ant-1.7,LGB-HP,15,0.4716981132075472,0.5,0.4854368932038835
promise-ck,ant-1.7,RF-SMOTE,15,0.47540983606557374,0.58,0.5225225225225225
promise-ck,ant-1.7,LR,16,0.5,0.7,0.5833333333333334
promise-ck,ant-1.7,RF,16,0.7407407407407407,0.4,0.5194805194805194
promise-ck,ant-1.7,XGB,16,0.575,0.46,0.5111111111111111
promise-ck,ant-1.7,LGB,16,0.5428571428571428,0.38,0.4470588235294118
promise-ck,ant-1.7,Stacking,16,0.7142857142857143,0.4,0.5128205128205128
promise-ck,ant-1.7,RF-HP,16,0.6444444444444445,0.58,0.6105263157894737
promise-ck,ant-1.7,XGB-HP,16,0.5961538461538461,0.62,0.6078431372549019
promise-ck,ant-1.7,LGB-HP,16,0.6,0.42,0.49411764705882355
promise-ck,ant-1.7,RF-SMOTE,16,0.6078431372549019,0.62,0.6138613861386139
promise-ck,ant-1.7,LR,17,0.5901639344262295,0.72,0.6486486486486487
promise-ck,ant-1.7,RF,17,0.8064516129032258,0.5,0.6172839506172839
promise-ck,ant-1.7,XGB,17,0.6153846153846154,0.48,0.5393258426966292
promise-ck,ant-1.7,LGB,17,0.6410256410256411,0.5,0.5617977528089888
promise-ck,ant-1.7,Stacking,17,0.7586206896551724,0.44,0.5569620253164557
promise-ck,ant-1.7,RF-HP,17,0.6744186046511628,0.58,0.6236559139784946
promise-ck,ant-1.7,XGB-HP,17,0.6326530612244898,0.62,0.6262626262626263
promise-ck,ant-1.7,LGB-HP,17,0.6176470588235294,0.42,0.5
promise-ck,ant-1.7,RF-SMOTE,17,0.6304347826086957,0.58,0.6041666666666666
promise-ck,ant-1.7,LR,18,0.5,0.62,0.5535714285714286
promise-ck,ant-1.7,RF,18,0.6666666666666666,0.44,0.5301204819277109
promise-ck,ant-1.7,XGB,18,0.5476190476190477,0.46,0.5
promise-ck,ant-1.7,LGB,18,0.5365853658536586,0.44,0.4835164835164835
promise-ck,ant-1.7,Stacking,18,0.6785714285714286,0.38,0.48717948717948717
promise-ck,ant-1.7,RF-HP,18,0.5813953488372093,0.5,0.5376344086021505
promise-ck,ant-1.7,XGB-HP,18,0.543859649122807,0.62,0.5794392523364486
promise-ck,ant-1.7,LGB-HP,18,0.6,0.48,0.5333333333333333
promise-ck,ant-1.7,RF-SMOTE,18,0.62,0.62,0.62
promise-ck,ant-1.7,LR,19,0.44285714285714284,0.62,0.5166666666666667
promise-ck,ant-1.7,RF,19,0.6774193548387096,0.42,0.5185185185185185
promise-ck,ant-1.7,XGB,19,0.5555555555555556,0.6,0.5769230769230769
promise-ck,ant-1.7,LGB,19,0.5510204081632653,0.54,0.5454545454545454
promise-ck,ant-1.7,Stacking,19,0.65625,0.42,0.5121951219512195
promise-ck,ant-1.7,RF-HP,19,0.5892857142857143,0.66,0.6226415094339622
promise-ck,ant-1.7,XGB-HP,19,0.5230769230769231,0.68,0.591304347826087
promise-ck,ant-1.7,LGB-HP,19,0.6,0.54,0.5684210526315789
promise-ck,ant-1.7,RF-SMOTE,19,0.5573770491803278,0.68,0.6126126126126126
promise-ck,ant-1.7,LR,20,0.5074626865671642,0.68,0.5811965811965812
promise-ck,ant-1.7,RF,20,0.6428571428571429,0.36,0.46153846153846156
promise-ck,ant-1.7,XGB,20,0.5897435897435898,0.46,0.5168539325842697
promise-ck,ant-1.7,LGB,20,0.5454545454545454,0.48,0.5106382978723404
promise-ck,ant-1.7,Stacking,20,0.6129032258064516,0.38,0.4691358024691358
promise-ck,ant-1.7,RF-HP,20,0.6086956521739131,0.56,0.5833333333333334
promise-ck,ant-1.7,XGB-HP,20,0.5454545454545454,0.6,0.5714285714285714
promise-ck,ant-1.7,LGB-HP,20,0.5952380952380952,0.5,0.5434782608695652
promise-ck,ant-1.7,RF-SMOTE,20,0.5370370370370371,0.58,0.5576923076923077
promise-ck,ant-1.7,LR,21,0.5,0.62,0.5535714285714286
promise-ck,ant-1.7,RF,21,0.7096774193548387,0.44,0.5432098765432098
promise-ck,ant-1.7,XGB,21,0.525,0.42,0.4666666666666667
promise-ck,ant-1.7,LGB,21,0.5111111111111111,0.46,0.4842105263157895
promise-ck,ant-1.7,Stacking,21,0.6428571428571429,0.36,0.46153846153846156
promise-ck,ant-1.7,RF-HP,21,0.6190476190476191,0.52,0.5652173913043478
promise-ck,ant-1.7,XGB-HP,21,0.5882352941176471,0.6,0.594059405940594
promise-ck,ant-1.7,LGB-HP,21,0.5813953488372093,0.5,0.5376344086021505
promise-ck,ant-1.7,RF-SMOTE,21,0.5892857142857143,0.66,0.6226415094339622
promise-ck,ant-1.7,LR,22,0.4430379746835443,0.7,0.5426356589147286
promise-ck,ant-1.7,RF,22,0.6578947368421053,0.5,0.5681818181818182
